customer_id,suggestion_type,rationale,dynamic_pd,pd_trend,action_tier
2dc15d91f74770404cc49fd3b4a0fa0cfc625f1b9f43889ecd4c181d045f7f73,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9999 (ranked by highest PD for triage order)",0.9998501539230347,0.22639501094818115,Freeze / Review
76cfbd1c789688ab479b8035e03c941409070a775343d7171bf2c74a25e2d542,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9998 (ranked by highest PD for triage order)",0.9997636675834656,0.14700406789779663,Freeze / Review
1ea52cbcae7d9284880d3fcde62729725a164f82e6834a6934f5b79b97b70851,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9997 (ranked by highest PD for triage order)",0.9997349381446838,0.14959567785263062,Freeze / Review
3ebb5560829bbd12086345ef94a082002ea08a39e906de4198decb3db2da6026,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9997 (ranked by highest PD for triage order)",0.9997342228889465,0.2058115005493164,Freeze / Review
d6809317aa87b1399a1603472617c8c667544797b7f4f18082a90ae58a75a94a,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9997 (ranked by highest PD for triage order)",0.9996993541717529,0.21639502048492432,Freeze / Review
c84f051963a0258b805ba59cd47f83f479c9170273f89137360a956ff72b3d0f,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9997 (ranked by highest PD for triage order)",0.9996979236602783,0.13843029737472534,Freeze / Review
7dd7799b3ab22c4fdec4b7bb31a168d7e51fcc0c0acec8b83b286b0d98d059ef,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9997 (ranked by highest PD for triage order)",0.9996868371963501,0.17786777019500732,Freeze / Review
e137dc324bc447bb7b5904dc0e2eb46685eee76aa15b2610e5afe9a3e595a042,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9997 (ranked by highest PD for triage order)",0.9996579885482788,0.14836645126342773,Freeze / Review
8f940531cdb9167e582d1704051630a381aff4dbfd8e54187e78d0199602c51b,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9997 (ranked by highest PD for triage order)",0.9996578693389893,0.4962664246559143,Freeze / Review
c0a523d12df7ae5fc88d2aece692d1e0d9edc9ee4b28b20059116b742bd0bcc9,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9997 (ranked by highest PD for triage order)",0.999651312828064,0.25809723138809204,Freeze / Review
886ab0b066bfa61a597ef989fb2c575c3e8235e15862cbbb864d212d74b4d31b,PRIORITY_REVIEW,"Freeze/Review action, real DYNAMIC_PD=0.9996 (ranked by highest PD for triage order)",0.9996494054794312,0.3675100803375244,Freeze / Review
